preferredName_A,preferredName_B,score,Experimental System,Experimental System Type
ACAA2,PEX5,0.662,functional_association,functional
ACAA2,FASN,0.575,functional_association,functional
ACAA2,ACACB,0.59,functional_association,functional
ACAA2,ACACA,0.612,functional_association,functional
ACAA2,HMGCR,0.613,functional_association,functional
ACAA2,FDPS,0.618,functional_association,functional
ACAA2,CD36,0.623,functional_association,functional
ACAA2,MVD,0.739,functional_association,functional
APP,GAPDH,0.98,functional_association,functional
ACAA2,SCP2,0.742,functional_association,functional
ACAA2,ACSL1,0.788,functional_association,functional
ACAA2,CPT2,0.822,functional_association,functional
ACAA2,ACLY,0.912,functional_association,functional
ACAA2,HSDL2,0.918,functional_association,functional
ACAA2,ACAT2,0.922,functional_association,functional
ACAA2,AACS,0.561,functional_association,functional
ACAA2,IDI1,0.557,functional_association,functional
ACAA2,ACSL3,0.549,functional_association,functional
ACAA2,FDFT1,0.542,functional_association,functional
ACAA2,PMVK,0.521,functional_association,functional
ACAA2,LSS,0.508,functional_association,functional
ACAA2,LDHA,0.497,functional_association,functional
ACAA2,ACSL4,0.495,functional_association,functional
ACAA2,PPARA,0.495,functional_association,functional
ACAA2,SCD,0.476,functional_association,functional
ACAA2,H6PD,0.448,functional_association,functional
ACAA2,GAPDH,0.438,functional_association,functional
ACAA2,COASY,0.427,functional_association,functional
ACAA2,HMGA1,0.417,functional_association,functional
ACAA2,DGAT1,0.41,functional_association,functional
APP,PSEN1,0.999,functional_association,functional
APP,BACE1,0.999,functional_association,functional
PPARG,GCG,0.687,functional_association,functional
PPARG,DGAT1,0.699,functional_association,functional
HMGCR,CD209,0.451,functional_association,functional
HMGCR,GOT1,0.419,functional_association,functional
HMGCR,PSEN1,0.417,functional_association,functional
HMGCR,CYB5B,0.417,functional_association,functional
HMGCR,VCAM1,0.418,functional_association,functional
HMGCR,ZMPSTE24,0.419,functional_association,functional
HMGCR,FOXO1,0.419,functional_association,functional
HMGCR,CYB5A,0.419,functional_association,functional
HMGCR,BCL2,0.419,functional_association,functional
HMGCR,HK1,0.417,functional_association,functional
HMGCR,G6PC2,0.422,functional_association,functional
HMGCR,TERT,0.423,functional_association,functional
HMGCR,JUN,0.423,functional_association,functional
HMGCR,H6PD,0.424,functional_association,functional
HMGCR,PPARD,0.426,functional_association,functional
HMGCR,LIAS,0.427,functional_association,functional
HMGCR,PGGT1B,0.417,functional_association,functional
HMGCR,IRS1,0.415,functional_association,functional
HMGCR,HSPA5,0.428,functional_association,functional
HMGCR,CYP2C8,0.405,functional_association,functional
HMGCR,HAO2,0.402,functional_association,functional
HMGCR,DHRS7B,0.402,functional_association,functional
HMGCR,CHFR,0.402,functional_association,functional
HMGCR,TOP2A,0.403,functional_association,functional
HMGCR,ABCC2,0.404,functional_association,functional
HMGCR,CPT2,0.404,functional_association,functional
HMGCR,MTUS2,0.414,functional_association,functional
HMGCR,OLR1,0.406,functional_association,functional
HMGCR,FBXO40,0.406,functional_association,functional
HMGCR,CXCL16,0.408,functional_association,functional
HMGCR,GPX4,0.41,functional_association,functional
HMGCR,METAP2,0.414,functional_association,functional
HMGCR,CAV1,0.427,functional_association,functional
HMGCR,MED1,0.428,functional_association,functional
PPARG,G6PC2,0.7,functional_association,functional
HMGCR,NCOA6,0.447,functional_association,functional
HMGCR,ICMT,0.441,functional_association,functional
HMGCR,ESR1,0.441,functional_association,functional
HMGCR,VLDLR,0.442,functional_association,functional
HMGCR,ANGPTL3,0.444,functional_association,functional
HMGCR,PNPLA2,0.445,functional_association,functional
HMGCR,LIPA,0.446,functional_association,functional
HMGCR,GLUL,0.448,functional_association,functional
HMGCR,GART,0.439,functional_association,functional
HMGCR,CYP2C19,0.449,functional_association,functional
HMGCR,STC1,0.449,functional_association,functional
HMGCR,HMGB2,0.449,functional_association,functional
HMGCR,NCOA1,0.45,functional_association,functional
HMGCR,NCOA2,0.451,functional_association,functional
HMGCR,HIF1A,0.451,functional_association,functional
HMGCR,ELOVL5,0.441,functional_association,functional
HMGCR,HSD3B7,0.438,functional_association,functional
HMGCR,CYP17A1,0.429,functional_association,functional
HMGCR,DHFR,0.432,functional_association,functional
HMGCR,G6PD,0.429,functional_association,functional
HMGCR,HSDL2,0.429,functional_association,functional
HMGCR,SLCO2B1,0.43,functional_association,functional
HMGCR,MMP9,0.432,functional_association,functional
HMGCR,LPA,0.432,functional_association,functional
HMGCR,PEX5,0.432,functional_association,functional
HMGCR,SCD5,0.434,functional_association,functional
HMGCR,FNTA,0.438,functional_association,functional
HMGCR,LDHA,0.434,functional_association,functional
HMGCR,ACSS1,0.435,functional_association,functional
HMGCR,SLCO1A2,0.435,functional_association,functional
HMGCR,PFKFB3,0.435,functional_association,functional
HMGCR,USP20,0.437,functional_association,functional
HMGCR,CYP2D6,0.437,functional_association,functional
HMGCR,TRIB1,0.402,functional_association,functional
HMGCR,HAO1,0.402,functional_association,functional
HMGCR,POLR2F,0.401,functional_association,functional
PPARG,NR1H3,0.865,functional_association,functional
PPARG,IL6,0.82,functional_association,functional
PPARG,JUN,0.849,functional_association,functional
PPARG,HIF1A,0.854,functional_association,functional
PPARG,FOXO1,0.856,functional_association,functional
PPARG,UCP2,0.859,functional_association,functional
PPARG,FASN,0.86,functional_association,functional
PPARG,CDK5,0.909,functional_association,functional
PPARG,TNF,0.807,functional_association,functional
PPARG,LPIN1,0.909,functional_association,functional
PPARG,SLC2A4,0.934,functional_association,functional
PPARG,NCOA6,0.94,functional_association,functional
PPARG,SREBF2,0.94,functional_association,functional
PPARG,LPL,0.941,functional_association,functional
PPARG,CD36,0.942,functional_association,functional
PPARG,ABCA1,0.82,functional_association,functional
PPARG,ESR1,0.794,functional_association,functional
HMGCR,NDUFAF6,0.401,functional_association,functional
PPARG,ACOX1,0.74,functional_association,functional
PPARG,ACACA,0.703,functional_association,functional
PPARG,HELZ2,0.711,functional_association,functional
PPARG,PPARD,0.715,functional_association,functional
PPARG,IRS1,0.726,functional_association,functional
PPARG,HMGA1,0.733,functional_association,functional
PPARG,PTGS2,0.735,functional_association,functional
PPARG,GAPDH,0.742,functional_association,functional
PPARG,AKT1,0.79,functional_association,functional
PPARG,ACSL1,0.745,functional_association,functional
PPARG,SCD,0.746,functional_association,functional
PPARG,ABCG1,0.76,functional_association,functional
PPARG,MMP9,0.765,functional_association,functional
PPARG,CAV1,0.765,functional_association,functional
PPARG,PNPLA2,0.769,functional_association,functional
PPARG,INS,0.944,functional_association,functional
PPARG,LEP,0.948,functional_association,functional
PPARG,MTOR,0.964,functional_association,functional
PRKAG2,PRKAG1,0.979,functional_association,functional
PRKAG2,MTOR,0.922,functional_association,functional
PRKAG2,ACACA,0.927,functional_association,functional
PRKAG2,ACACB,0.932,functional_association,functional
PRKAG2,HMGCR,0.932,functional_association,functional
PRKAG2,PRKAG3,0.946,functional_association,functional
PRKAG2,STK11,0.962,functional_association,functional
PRKAG2,PRKAA2,0.998,functional_association,functional
PPARG,ADIPOQ,0.965,functional_association,functional
PRKAG2,PRKAB1,0.999,functional_association,functional
PRKAG2,PRKAA1,0.999,functional_association,functional
HMGCR,HELZ2,0.4,functional_association,functional
HMGCR,LNP1,0.4,functional_association,functional
HMGCR,LDLRAP1,0.4,functional_association,functional
HMGCR,WDR97,0.401,functional_association,functional
PRKAG2,FOXO1,0.913,functional_association,functional
PRKAG2,EPHX2,0.852,functional_association,functional
PRKAG2,PFKFB3,0.748,functional_association,functional
PRKAG2,PFKFB1,0.727,functional_association,functional
PRKAG2,ADIPOQ,0.584,functional_association,functional
PRKAG2,MLXIPL,0.56,functional_association,functional
PRKAG2,GART,0.55,functional_association,functional
PRKAG2,TRIB1,0.494,functional_association,functional
PRKAG2,PSEN1,0.489,functional_association,functional
PRKAG2,RXRA,0.417,functional_association,functional
PPARG,NCOA1,0.999,functional_association,functional
PPARG,MED1,0.999,functional_association,functional
PPARG,RXRA,0.999,functional_association,functional
PPARG,NCOA2,0.998,functional_association,functional
PPARG,XPR1,0.996,functional_association,functional
PPARG,SREBF1,0.982,functional_association,functional
PPARG,ACTB,0.971,functional_association,functional
ACOX1,GPX3,0.442,functional_association,functional
ACOX1,NCOA6,0.453,functional_association,functional
PCSK9,LPA,0.71,functional_association,functional
MED1,LPL,0.556,functional_association,functional
MED1,HSD3B1,0.489,functional_association,functional
MED1,NSDHL,0.493,functional_association,functional
MED1,ABCA1,0.496,functional_association,functional
MED1,CYP1A1,0.507,functional_association,functional
MED1,CYP7A1,0.53,functional_association,functional
MED1,SLC2A4,0.543,functional_association,functional
MED1,CD36,0.559,functional_association,functional
MED1,HMGCS2,0.458,functional_association,functional
MED1,LEP,0.564,functional_association,functional
MED1,ADIPOQ,0.593,functional_association,functional
MED1,HELZ2,0.612,functional_association,functional
MED1,SREBF1,0.619,functional_association,functional
MED1,TBL1X,0.626,functional_association,functional
MED1,TBL1XR1,0.627,functional_association,functional
MED1,APOA5,0.473,functional_association,functional
MED1,HMGCS1,0.439,functional_association,functional
MED1,PPARD,0.71,functional_association,functional
LIPC,CEL,0.931,functional_association,functional
LIPC,LPIN1,0.752,functional_association,functional
LIPC,DGAT1,0.798,functional_association,functional
LIPC,VLDLR,0.842,functional_association,functional
LIPC,LPA,0.872,functional_association,functional
LIPC,APOA5,0.914,functional_association,functional
LIPC,PLTP,0.929,functional_association,functional
LIPC,PNLIP,0.935,functional_association,functional
MED1,ACSL1,0.433,functional_association,functional
LIPC,PNPLA2,0.956,functional_association,functional
LIPC,LPL,0.957,functional_association,functional
MED1,AGT,0.4,functional_association,functional
MED1,FDFT1,0.405,functional_association,functional
MED1,CPT2,0.416,functional_association,functional
MED1,FADS1,0.431,functional_association,functional
MED1,CHD9,0.702,functional_association,functional
MED1,PKLR,0.713,functional_association,functional
LIPC,LIPA,0.716,functional_association,functional
MVD,COQ2,0.47,functional_association,functional
MVD,ACACA,0.432,functional_association,functional
MVD,NUS1,0.44,functional_association,functional
MVD,CYP7A1,0.44,functional_association,functional
MVD,ICMT,0.452,functional_association,functional
MVD,ACLY,0.459,functional_association,functional
MVD,CH25H,0.461,functional_association,functional
MVD,INSIG1,0.492,functional_association,functional
MVD,LBR,0.426,functional_association,functional
MVD,ACAA1,0.505,functional_association,functional
MVD,DHDDS,0.523,functional_association,functional
MVD,COASY,0.541,functional_association,functional
MVD,HADHB,0.544,functional_association,functional
MVD,SERPINA3,0.594,functional_association,functional
MVD,DHCR24,0.641,functional_association,functional
MVD,AACS,0.429,functional_association,functional
MVD,CYP8B1,0.424,functional_association,functional
MED1,NCOA2,0.774,functional_association,functional
MED1,JUN,0.911,functional_association,functional
MED1,METAP2,0.783,functional_association,functional
MED1,NR1H3,0.867,functional_association,functional
MED1,PPARA,0.886,functional_association,functional
MED1,NCOA6,0.887,functional_association,functional
MED1,NR1H4,0.895,functional_association,functional
MED1,NCOA1,0.898,functional_association,functional
MED1,CARM1,0.944,functional_association,functional
MVD,COQ6,0.422,functional_association,functional
MED1,POLR2F,0.983,functional_association,functional
MED1,RXRA,0.986,functional_association,functional
MED1,ESR1,0.998,functional_association,functional
MVD,H6PD,0.404,functional_association,functional
MVD,CYP7B1,0.408,functional_association,functional
MVD,KMO,0.409,functional_association,functional
LIPC,ABCA1,0.746,functional_association,functional
LIPC,ACSL1,0.702,functional_association,functional
ACOX1,IRS1,0.462,functional_association,functional
HSD3B7,CYP19A1,0.421,functional_association,functional
NOS3,AKT1,0.997,functional_association,functional
NOS3,CAV1,0.999,functional_association,functional
HSD3B7,MVD,0.401,functional_association,functional
HSD3B7,IDI1,0.404,functional_association,functional
HSD3B7,HMGCS1,0.406,functional_association,functional
HSD3B7,WDR97,0.407,functional_association,functional
HSD3B7,POR,0.425,functional_association,functional
NOS3,AGT,0.792,functional_association,functional
HSD3B7,CYP3A4,0.435,functional_association,functional
HSD3B7,CYP17A1,0.449,functional_association,functional
HSD3B7,NR1H4,0.454,functional_association,functional
HSD3B7,FASN,0.462,functional_association,functional
HSD3B7,MED1,0.489,functional_association,functional
HSD3B7,ABCB11,0.503,functional_association,functional
NOS3,ACTB,0.892,functional_association,functional
NOS3,ESR1,0.773,functional_association,functional
HSD3B7,SCP2,0.55,functional_association,functional
NOS3,GPX3,0.656,functional_association,functional
NOS3,GAPDH,0.632,functional_association,functional
NOS3,PTGS2,0.642,functional_association,functional
NOS3,MTHFR,0.65,functional_association,functional
NOS3,GPX7,0.651,functional_association,functional
NOS3,GPX8,0.651,functional_association,functional
NOS3,GPX2,0.651,functional_association,functional
NOS3,GPX5,0.656,functional_association,functional
NOS3,INS,0.732,functional_association,functional
NOS3,GPX6,0.656,functional_association,functional
NOS3,FOXO1,0.663,functional_association,functional
NOS3,MTOR,0.677,functional_association,functional
NOS3,TNF,0.693,functional_association,functional
NOS3,IL6,0.718,functional_association,functional
NOS3,MMP9,0.73,functional_association,functional
HSD3B7,DHCR24,0.549,functional_association,functional
HSD3B7,LBR,0.579,functional_association,functional
LIPC,ANGPTL3,0.669,functional_association,functional
LIPC,PPARA,0.596,functional_association,functional
LIPC,MLXIPL,0.493,functional_association,functional
LIPC,ADIPOQ,0.497,functional_association,functional
LIPC,SREBF1,0.527,functional_association,functional
LIPC,ABCG1,0.528,functional_association,functional
LIPC,TRIB1,0.535,functional_association,functional
LIPC,MTTP,0.552,functional_association,functional
LIPC,ABCG5,0.601,functional_association,functional
LIPC,SPTLC3,0.466,functional_association,functional
LIPC,INS,0.604,functional_association,functional
LIPC,PCSK9,0.608,functional_association,functional
LIPC,NR1H4,0.629,functional_association,functional
LIPC,CYP7A1,0.637,functional_association,functional
LIPC,ACSL4,0.642,functional_association,functional
LIPC,ACSL3,0.654,functional_association,functional
LIPC,SLCO1A2,0.473,functional_association,functional
LIPC,LDLRAP1,0.463,functional_association,functional
HSD3B7,FAXDC2,0.671,functional_association,functional
HSD3B7,CYP7B1,0.988,functional_association,functional
HSD3B7,DHCR7,0.715,functional_association,functional
HSD3B7,FDFT1,0.822,functional_association,functional
HSD3B7,LSS,0.824,functional_association,functional
HSD3B7,CH25H,0.887,functional_association,functional
HSD3B7,CYP7A1,0.978,functional_association,functional
HSD3B7,CYP8B1,0.979,functional_association,functional
LIPC,EPHX2,0.402,functional_association,functional
LIPC,ELOVL5,0.439,functional_association,functional
LIPC,DHCR24,0.406,functional_association,functional
LIPC,LEP,0.408,functional_association,functional
LIPC,NR1H3,0.408,functional_association,functional
LIPC,SREBF2,0.42,functional_association,functional
LIPC,CD36,0.423,functional_association,functional
LIPC,PSRC1,0.435,functional_association,functional
MVD,EBP,0.668,functional_association,functional
MVD,FASN,0.69,functional_association,functional
MVD,PDSS2,0.697,functional_association,functional
CYP7A1,NR1H3,0.879,functional_association,functional
CYP7A1,SREBF2,0.838,functional_association,functional
CYP7A1,PPARA,0.84,functional_association,functional
CYP7A1,CEL,0.848,functional_association,functional
CYP7A1,ABCA1,0.862,functional_association,functional
CYP7A1,LIPA,0.874,functional_association,functional
CYP7A1,SOAT1,0.874,functional_association,functional
CYP7A1,XPR1,0.884,functional_association,functional
CYP7A1,ABCG1,0.827,functional_association,functional
CYP7A1,DHCR24,0.907,functional_association,functional
CYP7A1,ABCG5,0.91,functional_association,functional
CYP7A1,ABCB11,0.934,functional_association,functional
CYP7A1,DHCR7,0.942,functional_association,functional
CYP7A1,CYP3A4,0.947,functional_association,functional
CYP7A1,HSD3B1,0.959,functional_association,functional
CYP7A1,LSS,0.833,functional_association,functional
CYP7A1,SREBF1,0.826,functional_association,functional
CYP7A1,CYP1A1,0.968,functional_association,functional
CYP7A1,FASN,0.681,functional_association,functional
CYP7A1,NSDHL,0.607,functional_association,functional
CYP7A1,CYP2D6,0.615,functional_association,functional
CYP7A1,SCD,0.616,functional_association,functional
CYP7A1,ABCC2,0.637,functional_association,functional
CYP7A1,CYP2C19,0.646,functional_association,functional
CYP7A1,HMGCS2,0.659,functional_association,functional
CYP7A1,CYP19A1,0.681,functional_association,functional
CYP7A1,RXRA,0.808,functional_association,functional
CYP7A1,PLTP,0.687,functional_association,functional
CYP7A1,FAXDC2,0.692,functional_association,functional
CYP7A1,MYLIP,0.716,functional_association,functional
CYP7A1,HMGCS1,0.747,functional_association,functional
CYP7A1,SLCO1A2,0.752,functional_association,functional
CYP7A1,FDFT1,0.757,functional_association,functional
CYP7A1,CYP17A1,0.967,functional_association,functional
CYP7A1,CH25H,0.98,functional_association,functional
MVD,HMGA1,0.718,functional_association,functional
PCSK9,INS,0.617,functional_association,functional
PCSK9,OLR1,0.51,functional_association,functional
PCSK9,GAPDH,0.519,functional_association,functional
PCSK9,ABCG1,0.565,functional_association,functional
PCSK9,ACTB,0.574,functional_association,functional
PCSK9,LPL,0.578,functional_association,functional
PCSK9,AKT1,0.598,functional_association,functional
PCSK9,PPARA,0.62,functional_association,functional
PCSK9,BACE1,0.487,functional_association,functional
PCSK9,SREBF1,0.635,functional_association,functional
PCSK9,MYLIP,0.659,functional_association,functional
PCSK9,APOA5,0.664,functional_association,functional
PCSK9,ABCA1,0.664,functional_association,functional
PCSK9,ABCG5,0.695,functional_association,functional
PCSK9,MTTP,0.703,functional_association,functional
PCSK9,CASP3,0.506,functional_association,functional
PCSK9,IL6,0.474,functional_association,functional
CYP7A1,NR1H4,0.986,functional_association,functional
PCSK9,DHCR7,0.421,functional_association,functional
PCSK9,FDPS,0.404,functional_association,functional
PCSK9,NR1H4,0.405,functional_association,functional
PCSK9,TNF,0.408,functional_association,functional
PCSK9,INSIG1,0.408,functional_association,functional
PCSK9,PXDNL,0.41,functional_association,functional
PCSK9,IGF1R,0.414,functional_association,functional
PCSK9,PLTP,0.422,functional_association,functional
PCSK9,EPHX2,0.472,functional_association,functional
PCSK9,LIPA,0.427,functional_association,functional
PCSK9,TRIB1,0.428,functional_association,functional
PCSK9,BCL2,0.433,functional_association,functional
PCSK9,GPT,0.433,functional_association,functional
PCSK9,XPR1,0.448,functional_association,functional
PCSK9,HMGCS1,0.453,functional_association,functional
CYP7A1,GPT,0.603,functional_association,functional
CYP7A1,PCSK9,0.599,functional_association,functional
CYP7A1,INS,0.59,functional_association,functional
SOAT2,SREBF2,0.519,functional_association,functional
SOAT2,PCSK9,0.401,functional_association,functional
SOAT2,ACACA,0.405,functional_association,functional
SOAT2,INSIG1,0.435,functional_association,functional
SOAT2,LIPA,0.44,functional_association,functional
SOAT2,HMGCS1,0.489,functional_association,functional
SOAT2,ABCA1,0.494,functional_association,functional
SOAT2,MTTP,0.592,functional_association,functional
MVD,IDI1,0.998,functional_association,functional
SOAT2,ABCG5,0.671,functional_association,functional
SOAT2,CH25H,0.864,functional_association,functional
SOAT2,CYP7A1,0.897,functional_association,functional
SOAT2,SOAT1,0.909,functional_association,functional
SOAT2,DHCR7,0.938,functional_association,functional
SOAT2,DHCR24,0.943,functional_association,functional
SOAT2,HMGCS2,0.4,functional_association,functional
MVD,FDPS,0.995,functional_association,functional
CYP7A1,MTTP,0.553,functional_association,functional
MVD,HAO1,0.87,functional_association,functional
MVD,FBXO40,0.727,functional_association,functional
MVD,RUSC1,0.745,functional_association,functional
MVD,PDSS1,0.763,functional_association,functional
MVD,SREBF1,0.835,functional_association,functional
MVD,DHCR7,0.86,functional_association,functional
MVD,NSDHL,0.861,functional_association,functional
MVD,HAO2,0.873,functional_association,functional
MVD,PMVK,0.994,functional_association,functional
MVD,FDFT1,0.873,functional_association,functional
MVD,HMGCS2,0.877,functional_association,functional
MVD,ACAT2,0.883,functional_association,functional
MVD,SREBF2,0.894,functional_association,functional
MVD,LSS,0.918,functional_association,functional
MVD,HMGCS1,0.948,functional_association,functional
CYP7A1,TNF,0.401,functional_association,functional
CYP7A1,HELZ2,0.405,functional_association,functional
CYP7A1,GPT2,0.406,functional_association,functional
CYP7A1,APOA5,0.494,functional_association,functional
ACAA1,ACOX3,0.995,functional_association,functional
CYP7A1,GAPDH,0.472,functional_association,functional
CYP7A1,NCOA6,0.475,functional_association,functional
CYP7A1,CARM1,0.475,functional_association,functional
CYP7A1,MLXIPL,0.478,functional_association,functional
CYP7A1,NCOA2,0.486,functional_association,functional
CYP7A1,HMGA1,0.505,functional_association,functional
CYP7A1,HSD11B1,0.408,functional_association,functional
CYP7A1,LPL,0.507,functional_association,functional
CYP7A1,CD36,0.519,functional_association,functional
CYP7A1,GCG,0.525,functional_association,functional
CYP7A1,NCOA1,0.527,functional_association,functional
CYP7A1,LBR,0.532,functional_association,functional
CYP7A1,ACACA,0.546,functional_association,functional
CYP7A1,TBL1X,0.467,functional_association,functional
CYP7A1,ACOX3,0.467,functional_association,functional
CYP7A1,ACTB,0.464,functional_association,functional
CYP7A1,ANGPTL3,0.444,functional_association,functional
CYP7A1,G6PC2,0.439,functional_association,functional
CYP7A1,INSIG1,0.439,functional_association,functional
CYP7A1,ABCB1,0.439,functional_association,functional
CYP7A1,FDPS,0.434,functional_association,functional
CYP7A1,DGAT1,0.432,functional_association,functional
CYP7A1,IL6,0.425,functional_association,functional
CYP7A1,ACSL1,0.423,functional_association,functional
CYP7A1,IDI1,0.418,functional_association,functional
CYP7A1,LEP,0.418,functional_association,functional
CYP7A1,CHD9,0.415,functional_association,functional
CYP7A1,PNLIP,0.412,functional_association,functional
CYP7A1,PPARD,0.409,functional_association,functional
CYP7A1,TBL1XR1,0.408,functional_association,functional
NOS3,HIF1A,0.624,functional_association,functional
NOS3,CYCS,0.617,functional_association,functional
NOS3,PXDNL,0.614,functional_association,functional
VCAM1,OLR1,0.613,functional_association,functional
VCAM1,LEP,0.586,functional_association,functional
VCAM1,BCL2,0.589,functional_association,functional
VCAM1,CASP3,0.593,functional_association,functional
VCAM1,GAPDH,0.602,functional_association,functional
VCAM1,HIF1A,0.604,functional_association,functional
VCAM1,ACTB,0.605,functional_association,functional
VCAM1,ADIPOQ,0.632,functional_association,functional
VCAM1,IGF1R,0.581,functional_association,functional
VCAM1,ALB,0.65,functional_association,functional
VCAM1,AKT1,0.678,functional_association,functional
VCAM1,AGT,0.685,functional_association,functional
VCAM1,INS,0.69,functional_association,functional
VCAM1,MMP9,0.748,functional_association,functional
VCAM1,PTGS2,0.758,functional_association,functional
VCAM1,JUN,0.581,functional_association,functional
VCAM1,GPT,0.577,functional_association,functional
VCAM1,NOS3,0.81,functional_association,functional
VCAM1,ABCG1,0.475,functional_association,functional
CXCL16,TNF,0.62,functional_association,functional
CXCL16,VCAM1,0.675,functional_association,functional
VCAM1,GSK3B,0.452,functional_association,functional
VCAM1,CAV1,0.461,functional_association,functional
VCAM1,GPX2,0.473,functional_association,functional
VCAM1,GPX5,0.475,functional_association,functional
VCAM1,GPX6,0.476,functional_association,functional
VCAM1,GPX8,0.571,functional_association,functional
VCAM1,ESR1,0.477,functional_association,functional
VCAM1,GPX3,0.483,functional_association,functional
VCAM1,RHOA,0.501,functional_association,functional
VCAM1,GPX7,0.517,functional_association,functional
VCAM1,ABCA1,0.522,functional_association,functional
VCAM1,PPARA,0.567,functional_association,functional
VCAM1,CD36,0.771,functional_association,functional
VCAM1,IL6,0.921,functional_association,functional
FABP1,RXRA,0.599,functional_association,functional
FABP1,CHD9,0.51,functional_association,functional
FABP1,ABCG5,0.49,functional_association,functional
FABP1,NCOA2,0.499,functional_association,functional
FABP1,NCOA6,0.499,functional_association,functional
FABP1,HELZ2,0.499,functional_association,functional
FABP1,CARM1,0.504,functional_association,functional
FABP1,TBL1XR1,0.504,functional_association,functional
FABP1,FDFT1,0.52,functional_association,functional
FABP1,DGAT1,0.476,functional_association,functional
FABP1,TBL1X,0.521,functional_association,functional
FABP1,NCOA1,0.546,functional_association,functional
FABP1,SREBF1,0.549,functional_association,functional
FABP1,MED1,0.55,functional_association,functional
FABP1,MLXIPL,0.558,functional_association,functional
FABP1,ACOX3,0.578,functional_association,functional
FABP1,FASN,0.487,functional_association,functional
FABP1,INS,0.471,functional_association,functional
VCAM1,TNF,0.923,functional_association,functional
FABP1,LPA,0.43,functional_association,functional
FABP1,ELOVL6,0.403,functional_association,functional
FABP1,CYP7A1,0.405,functional_association,functional
FABP1,UCP2,0.406,functional_association,functional
FABP1,DHCR7,0.415,functional_association,functional
FABP1,LPL,0.417,functional_association,functional
FABP1,GLUL,0.418,functional_association,functional
FABP1,ACAA1,0.437,functional_association,functional
FABP1,PTGS2,0.469,functional_association,functional
FABP1,PPARD,0.439,functional_association,functional
FABP1,SCD,0.439,functional_association,functional
FABP1,ACACA,0.439,functional_association,functional
FABP1,LIPC,0.449,functional_association,functional
FABP1,CYP3A4,0.458,functional_association,functional
FABP1,GPT,0.468,functional_association,functional
CXCL16,AGT,0.602,functional_association,functional
CXCL16,IL6,0.581,functional_association,functional
CXCL16,MMP9,0.494,functional_association,functional
ACOX1,SLC2A4,0.548,functional_association,functional
ACOX1,HMGCS1,0.521,functional_association,functional
ACOX1,NCOA1,0.524,functional_association,functional
ACOX1,CYP8B1,0.528,functional_association,functional
ACOX1,ABCA1,0.533,functional_association,functional
ACOX1,GPT,0.545,functional_association,functional
ACOX1,MED1,0.546,functional_association,functional
ACOX1,PXDNL,0.574,functional_association,functional
ACOX1,COASY,0.508,functional_association,functional
ACOX1,MLXIPL,0.577,functional_association,functional
ACOX1,SREBF2,0.588,functional_association,functional
ACOX1,CYP7A1,0.588,functional_association,functional
ACOX1,ELOVL5,0.603,functional_association,functional
ACOX1,ACLY,0.609,functional_association,functional
ACOX1,INS,0.613,functional_association,functional
ACOX1,LEP,0.511,functional_association,functional
ACOX1,GAPDH,0.508,functional_association,functional
CXCL16,OLR1,0.45,functional_association,functional
ACOX1,ACTB,0.481,functional_association,functional
ACOX1,ELOVL6,0.464,functional_association,functional
ACOX1,ABCB11,0.464,functional_association,functional
ACOX1,HELZ2,0.472,functional_association,functional
ACOX1,CARM1,0.476,functional_association,functional
ACOX1,G6PC2,0.478,functional_association,functional
ACOX1,XPR1,0.478,functional_association,functional
ACOX1,NR1H3,0.482,functional_association,functional
ACOX1,NR1H4,0.5,functional_association,functional
ACOX1,TBL1X,0.485,functional_association,functional
ACOX1,G6PD,0.485,functional_association,functional
ACOX1,FADS1,0.489,functional_association,functional
ACOX1,LPIN1,0.49,functional_association,functional
ACOX1,AACS,0.49,functional_association,functional
ACOX1,NCOA2,0.495,functional_association,functional
ACOX1,H6PD,0.622,functional_association,functional
ACOX1,LPL,0.629,functional_association,functional
ACOX1,HAO2,0.635,functional_association,functional
ACOX1,ACSS1,0.956,functional_association,functional
ACOX1,FASN,0.825,functional_association,functional
ACOX1,ACSL1,0.829,functional_association,functional
ACOX1,SREBF1,0.858,functional_association,functional
ACOX1,HSDL2,0.858,functional_association,functional
ACOX1,ACOX3,0.938,functional_association,functional
ACOX1,PPARA,0.944,functional_association,functional
ACOX1,ACAT2,0.965,functional_association,functional
ACOX1,MTTP,0.636,functional_association,functional
ACOX1,PEX5,0.969,functional_association,functional
ACOX1,CPT2,0.982,functional_association,functional
ACOX1,SCP2,0.984,functional_association,functional
ACOX1,HADHB,0.996,functional_association,functional
ACOX1,ACAA1,0.998,functional_association,functional
CXCL16,CD36,0.427,functional_association,functional
ACOX1,FABP1,0.815,functional_association,functional
ACOX1,SCD,0.805,functional_association,functional
ACOX1,ACSL3,0.8,functional_association,functional
ACOX1,ACACB,0.79,functional_association,functional
ACOX1,ACSL4,0.782,functional_association,functional
ACOX1,ACACA,0.778,functional_association,functional
ACOX1,UCP2,0.774,functional_association,functional
ACOX1,EPHX2,0.767,functional_association,functional
ACOX1,HMGCL,0.762,functional_association,functional
ACOX1,ADIPOQ,0.711,functional_association,functional
ACOX1,CD36,0.697,functional_association,functional
ACOX1,HAO1,0.686,functional_association,functional
ACOX1,PPARD,0.667,functional_association,functional
ACOX1,DGAT1,0.656,functional_association,functional
ACOX1,HMGCS2,0.655,functional_association,functional
ACOX1,PNPLA2,0.645,functional_association,functional
